symbol,entry_date,exit_date,qty,entry_price,exit_price,pnl,hold_days
HEI,2025-12-23,2026-01-23,33,336.0336,342.885708,224.11956400000145,31.0
KO,2025-06-18,2025-06-24,143,70.007,69.93800549999999,-11.86621350000236,6.0
KO,2025-10-15,2025-12-08,157,67.2717265,69.833016,400.1224515000001,54.0
MAT,2025-07-16,2025-07-22,532,19.531953,19.948005,219.33966399999838,6.0
MAT,2025-11-24,2025-12-23,560,19.80198,19.808018999999998,1.3818399999987037,29.0
MPWR,2025-10-07,2025-11-19,11,969.7969700000001,866.0733839999999,-1142.9594460000021,43.0
MRK,2025-11-19,2025-12-10,113,96.0096,98.040195,227.457234999999,21.0
MSTR,2025-04-28,2025-05-27,26,373.327329,381.0768885,199.48854699999936,29.0
MSTR,2025-07-11,2025-07-28,24,430.583054,416.9033055,-330.3139640000004,17.0
MSTR,2025-08-19,2025-08-25,29,363.226319,344.875509,-534.173489999999,6.0
MSTR,2025-10-07,2025-10-16,30,358.915888,299.87001,-1773.3763400000005,9.0
NUE,2025-09-22,2025-09-25,83,133.063305,135.79641900000001,224.84846200000004,3.0
PAYC,2025-05-13,2025-06-12,40,258.0258,253.584639,-179.64643999999976,30.0
PLD,2025-05-12,2025-06-18,91,110.961095,104.9895,-545.4151449999994,37.0
PNC,2025-08-25,2025-10-07,54,201.32013,196.14038399999998,-281.70628400000123,43.0
PSA,2025-10-14,2025-10-29,35,299.859983,298.080189,-64.29278999999934,15.0
RBRK,2025-04-28,2025-06-11,144,69.316931,87.541245,2622.3012160000007,44.0
RBRK,2025-12-08,2026-01-06,132,85.53855300000001,73.242675,-1625.0558960000003,29.0
REGN,2025-07-14,2025-09-04,18,566.15661,567.953199,30.33860200000072,52.0
REGN,2025-10-29,2025-12-08,16,650.4750409999999,723.6176310000001,1168.2814400000025,40.0
REXR,2025-08-25,2025-09-22,270,40.284028,41.815818,411.58330000000024,28.0
ROIV,2025-04-25,2025-05-12,916,10.911091,10.638936000000001,-251.29397999999972,17.0
ROIV,2025-09-04,2026-01-06,852,12.581258,21.467852999999998,7569.378939999999,124.0
ROIV,2026-01-15,2026-01-29,467,23.762376000000003,21.887811,-877.4218550000019,14.0
SNPS,2025-07-11,2025-08-21,18,564.026397,597.1302810000001,593.8699120000019,41.0
