date,symbol,side,qty,price,commission,slippage_bps,fill_model,entry_score,entry_tag
2025-07-22,CNP,BUY,276,37.543754,1.0,1.0,next_open,0.0003301237859921536,donchian
2025-07-23,AIT,BUY,39,266.096607,1.0,1.0,next_open,0.0003330702375252258,donchian
2025-07-28,MSTR,SELL,24,416.9033055,1.0,1.0,next_open,,
2025-07-28,CRH,BUY,105,100.030002,1.0,1.0,next_open,0.001377610151430917,donchian
2025-07-30,CPNG,SELL,366,30.086991,1.0,1.0,next_open,,
2025-07-30,CBRE,BUY,68,157.635762,1.0,1.0,next_open,0.01242168281991541,donchian
2025-08-18,AIT,SELL,39,255.114486,1.0,1.0,next_open,,
2025-08-18,BIIB,BUY,77,140.014,1.0,1.0,next_open,-0.00011940316138014881,donchian
2025-08-19,CNP,SELL,276,37.726226999999994,1.0,1.0,next_open,,
2025-08-19,MSTR,BUY,29,363.226319,1.0,1.0,next_open,1.9241878349259451,mean_reversion
2025-08-21,BX,SELL,60,163.9836,1.0,1.0,next_open,,
2025-08-21,SNPS,SELL,18,597.1302810000001,1.0,1.0,next_open,,
2025-08-22,BX,BUY,64,164.78647700000002,1.0,1.0,next_open,2.709154783424921,mean_reversion
2025-08-25,BX,SELL,64,169.543044,1.0,1.0,next_open,,
2025-08-25,MSTR,SELL,29,344.875509,1.0,1.0,next_open,,
2025-08-25,PNC,BUY,54,201.32013,1.0,1.0,next_open,0.0020674268177898933,donchian
2025-08-25,HBAN,BUY,629,17.30173,1.0,1.0,next_open,0.0015225499615156859,donchian
2025-08-25,REXR,BUY,270,40.284028,1.0,1.0,next_open,0.0008456750292511249,donchian
2025-09-02,CR,SELL,64,182.571741,1.0,1.0,next_open,,
2025-09-02,AFRM,BUY,126,85.35853499999999,1.0,1.0,next_open,0.0416515324721385,donchian
2025-09-04,REGN,SELL,18,567.953199,1.0,1.0,next_open,,
2025-09-04,ROIV,BUY,852,12.581258,1.0,1.0,next_open,0.0012662119796983048,donchian
2025-09-22,REXR,SELL,270,41.815818,1.0,1.0,next_open,,
2025-09-22,NUE,BUY,83,133.063305,1.0,1.0,next_open,1.0344592007829192,mean_reversion
2025-09-24,BIIB,SELL,77,138.506148,1.0,1.0,next_open,,
2025-09-24,CNP,BUY,280,39.0039,1.0,1.0,next_open,0.00039490229306169447,donchian
2025-09-25,NUE,SELL,83,135.79641900000001,1.0,1.0,next_open,,
2025-09-25,CBRE,SELL,68,155.994399,1.0,1.0,next_open,,
2025-09-25,BIIB,BUY,78,138.41384,1.0,1.0,next_open,3.17134772195773,mean_reversion
2025-09-26,AFRM,SELL,126,77.9922,1.0,1.0,next_open,,
2025-09-26,FAF,BUY,166,64.59645900000001,1.0,1.0,next_open,2.5512760582183915,mean_reversion
2025-09-26,BX,BUY,60,176.50764900000001,1.0,1.0,next_open,2.31985316997212,mean_reversion
2025-09-29,FAF,SELL,166,65.043495,1.0,1.0,next_open,,
2025-09-29,AFRM,BUY,140,76.92769200000001,1.0,1.0,next_open,3.238009814434591,mean_reversion
2025-09-30,BIIB,SELL,78,138.446154,1.0,1.0,next_open,,
2025-10-01,AJG,BUY,35,307.900787,1.0,1.0,next_open,-3.451424593861843e-05,donchian
2025-10-03,AFRM,SELL,140,77.9172075,1.0,1.0,next_open,,
2025-10-03,BIIB,BUY,69,156.475646,1.0,1.0,next_open,0.0007738535259731667,donchian
2025-10-07,PNC,SELL,54,196.14038399999998,1.0,1.0,next_open,,
2025-10-07,HBAN,SELL,629,16.818318,1.0,1.0,next_open,,
2025-10-07,MPWR,BUY,11,969.7969700000001,1.0,1.0,next_open,0.005470198842890814,donchian
2025-10-07,MSTR,BUY,30,358.915888,1.0,1.0,next_open,8.119139486738644e-05,donchian
2025-10-14,BX,SELL,60,156.154383,1.0,1.0,next_open,,
2025-10-14,AJG,SELL,35,298.42015499999997,1.0,1.0,next_open,,
