symbol,entry_date,exit_date,qty,entry_price,exit_price,pnl,hold_days
HBAN,2025-12-11,2026-01-02,4,17.50175,17.378262,-2.4939520000000073,22.0
HBAN,2026-01-06,2026-01-29,5,17.881788,17.1932805,-5.4425375,23.0
IAC,2024-10-16,2024-10-24,1,53.985397999999996,52.224776999999996,-3.7606210000000004,8.0
IAC,2025-03-18,2025-04-02,1,46.904689999999995,38.536146,-10.368543999999993,15.0
IAC,2025-05-13,2025-05-27,1,39.493949,36.946305,-4.547643999999998,14.0
IAC,2025-06-27,2025-08-06,1,37.123712,34.106589,-5.017122999999998,40.0
IAC,2025-12-02,2026-01-08,2,35.703570000000006,38.576142,3.745143999999982,37.0
KO,2025-10-15,2025-12-08,1,67.2717265,69.833016,0.5612895000000009,54.0
KO,2026-01-28,2026-02-03,1,73.217321,76.882311,1.664990000000003,6.0
MAT,2024-10-07,2024-10-15,4,19.211921,18.858114,-3.415227999999999,8.0
MAT,2024-11-08,2024-11-13,3,19.271926999999998,18.968103,-2.9114719999999963,5.0
MAT,2025-05-13,2025-06-03,3,19.10191,18.538145999999998,-3.691292000000008,21.0
MAT,2025-06-23,2025-07-25,3,18.931893,17.0532945,-7.635795499999997,32.0
MAT,2025-09-08,2025-09-16,3,18.711871000000002,17.478252,-5.700857000000003,8.0
MAT,2025-10-24,2025-12-23,4,19.191919000000002,19.808018999999998,0.4643999999999835,60.0
MAT,2026-01-06,2026-01-28,4,20.572057,20.257974,-3.2563320000000004,22.0
MRK,2026-02-02,2026-02-03,1,110.131012,115.828416,3.697404000000006,1.0
OC,2026-02-03,2026-02-03,1,121.96219500000001,124.947504,0.9853089999999867,0.0
RBRK,2025-01-17,2025-02-24,1,69.60696,69.253074,-2.353886000000003,38.0
REXR,2025-03-06,2025-03-11,1,40.994099,39.916008000000005,-3.0780909999999935,5.0
REXR,2025-03-19,2025-03-24,1,40.654064999999996,39.206079,-3.447985999999993,5.0
REXR,2025-05-13,2025-06-26,1,35.843584,35.886411,-1.9571729999999974,44.0
REXR,2025-07-03,2025-07-18,1,37.203720000000004,35.476451999999995,-3.7272680000000094,15.0
REXR,2025-07-22,2025-08-04,1,36.933693,36.056394000000004,-2.8772989999999936,13.0
REXR,2025-08-06,2025-08-12,1,36.80368,36.746325,-2.057355000000001,6.0
REXR,2025-08-13,2025-10-13,1,36.993699,39.886011,0.892312000000004,61.0
REXR,2025-10-16,2025-10-30,1,43.254325,41.205879,-4.048445999999998,14.0
ROIV,2024-10-11,2024-10-22,6,11.921192,11.49885,-4.534052000000003,11.0
ROIV,2025-01-03,2025-01-06,6,12.131213,11.673832500000001,-4.744282999999996,3.0
ROIV,2025-04-25,2025-05-12,6,10.911091,10.638936000000001,-3.632929999999998,17.0
ROIV,2025-05-13,2025-07-02,6,10.991099,10.888911,-2.6131279999999997,50.0
ROIV,2025-08-05,2025-08-12,5,11.50115,11.29887,-3.0114,7.0
ROIV,2025-08-13,2026-02-02,5,11.60116,21.567843,47.833415,173.0
SNDK,2025-08-11,2026-02-03,1,45.704570000000004,695.440449,647.735879,176.0
TRU,2026-01-06,2026-01-07,1,83.01830100000001,83.381661,-1.636640000000014,1.0
UHAL,2024-10-31,2024-11-04,1,74.077407,72.722727,-3.3546799999999877,4.0
UHAL,2024-11-05,2024-11-13,1,74.047404,72.122787,-3.924616999999998,8.0
UHAL,2025-02-12,2025-02-25,1,71.427142,70.862913,-2.5642289999999974,13.0
UHAL,2025-05-13,2025-05-22,1,66.746674,61.083891,-7.6627829999999975,9.0
UHAL,2025-07-23,2025-07-31,1,64.326432,58.604138999999996,-7.7222930000000005,8.0
UHAL,2025-12-11,2025-12-30,1,54.245424,50.444955,-5.800469,19.0
